iter	Passed	Remaining
442	1198	1507
443	1200	1502
444	1201	1498
445	1202	1493
446	1204	1489
447	1205	1485
448	1207	1481
449	1208	1477
450	1210	1473
451	1211	1468
452	1212	1464
453	1213	1459
454	1215	1455
455	1216	1451
456	1217	1446
457	1218	1442
458	1220	1437
459	1221	1434
460	1223	1429
461	1224	1425
462	1225	1421
463	1226	1417
464	1228	1412
465	1229	1408
466	1230	1404
467	1232	1400
468	1233	1396
469	1234	1392
470	1236	1388
471	1237	1384
472	1238	1380
473	1239	1375
474	1241	1371
475	1242	1367
476	1243	1363
477	1244	1359
478	1246	1355
479	1247	1351
480	1248	1347
481	1250	1343
482	1251	1339
483	1253	1336
484	1254	1332
485	1255	1328
486	1257	1324
487	1258	1320
488	1259	1316
489	1260	1312
490	1262	1308
491	1263	1304
492	1265	1301
493	1266	1297
494	1267	1293
495	1269	1289
496	1270	1286
497	1272	1282
498	1273	1278
499	1274	1274
500	1275	1270
501	1277	1266
502	1278	1263
503	1279	1259
504	1281	1256
505	1283	1252
506	1284	1248
507	1285	1245
508	1287	1241
509	1288	1237
510	1289	1234
511	1290	1230
512	1292	1226
513	1293	1222
514	1295	1219
515	1296	1216
516	1297	1212
517	1299	1208
518	1300	1205
519	1301	1201
520	1303	1198
521	1304	1194
522	1306	1191
523	1307	1187
524	1308	1183
525	1310	1180
526	1312	1177
527	1313	1174
528	1314	1170
529	1316	1167
530	1317	1163
531	1319	1160
532	1320	1156
533	1321	1153
534	1322	1149
535	1325	1147
536	1326	1144
537	1328	1140
538	1329	1137
539	1330	1133
540	1332	1130
541	1333	1126
542	1334	1123
543	1336	1120
544	1337	1116
545	1339	1114
546	1341	1111
547	1343	1107
548	1344	1104
549	1345	1101
550	1347	1097
551	1348	1094
552	1349	1090
553	1350	1087
554	1352	1084
555	1354	1081
556	1355	1077
557	1356	1074
558	1357	1071
559	1358	1067
560	1359	1064
561	1361	1060
562	1362	1057
563	1363	1054
564	1364	1050
565	1366	1047
566	1368	1044
567	1369	1041
568	1370	1038
569	1372	1035
570	1373	1032
571	1375	1029
572	1376	1026
573	1378	1023
574	1380	1020
575	1381	1017
576	1383	1014
577	1384	1010
578	1385	1007
579	1387	1004
580	1388	1001
581	1389	998
582	1390	994
583	1392	991
584	1393	988
585	1394	985
586	1396	982
587	1397	979
588	1398	976
589	1400	972
590	1401	969
591	1402	966
592	1403	963
593	1405	960
594	1406	957
595	1407	954
596	1408	951
597	1410	948
598	1412	945
599	1413	942
600	1414	939
601	1416	936
602	1417	933
603	1419	930
604	1420	927
605	1421	924
606	1422	921
607	1423	918
608	1425	915
609	1427	912
610	1428	909
611	1429	906
612	1431	903
